Alter,Geschlecht,Pseudonym,Position,Studiengang,Sportlichkeit,Sportarten,Fav_Sportart,Gesunde_Ernaehrung,Essen_gehen,Kochen,Feiern,Fav_Essen,Musik,Fav_Musik,Lesen,Darstellende_Kunst,Filme,Bildende_Kunst,Museen,Videospiele,Soziale_Medien,Technologie,Astronomie,Naturwissenschaften,Soziales_Engagement,Soziale_Gerechtigkeit,Introvertiert_Extrovertiert,FOMO,Spontan,Verwirrt,Glücklich,Geduldig,Streitlustig,Abenteuerlustig,Studium_Zweifel,Studium_Zufriedenheit,Akademische_Laufbahn,Lerngruppe,Prokrastination,Abgaben_spaet,Neugier_Lebensmittel,Natur,Verreisen,Handwerk,Sprachnachrichten,Wichtigkeit_Geld,Geschlecht_num,Position_num,Studiengang_num,Basketball,Fußball,Handball,Football,Hockey,Volleyball,Tennis,Yoga,Kampfsport,Tanzen,Leichtathletik,Bouldern/Klettern,Schwimmen,Wassersport,Reiten,Wintersport,Rennrad/Mountainbike
29,männlich,DRP,Student*in,BMT,3,Fußball;Kampfsport;Bouldern/Klettern,Fußball,5,5,3,3,Lachs mit Bratkartoffeln ,4,Red Hot Chili Peppers,3,3,5,3,4,5,4,4,3,3,2,4,2,2,3,2,4,3,2,3,2,4,2,2,3,3,4,4,3,4,4,4,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
25,männlich,Sam,Student*in,MMI,4,Bouldern/Klettern,Bouldern/Klettern,3,3,2,3,Pizza,5,Mac Miller,4,3,3,4,2,5,4,5,2,2,2,5,3,4,2,4,3,1,3,3,1,3,2,2,5,5,2,2,3,3,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,weiblich,Kled07,Student*in,MMI,4,Volleyball;Yoga;Kampfsport;Bouldern/Klettern;Schwimmen,Yoga,4,3,3,4,Ramen,3,Grimes,5,3,4,3,5,5,4,4,4,3,2,4,4,4,4,3,4,2,2,5,4,4,3,4,5,4,4,5,3,3,3,3,0,0,3,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
28,männlich,TV,Student*in,MMI,5,Yoga;Schwimmen;Rennrad/Mountainbike,Badminton,5,5,3,3,Humus,5,Die Toten Hosen,1,4,4,2,3,2,4,4,2,3,5,4,4,4,4,2,4,2,3,3,2,4,1,3,3,2,4,4,4,2,2,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
24,weiblich,Mfi62,Student*in,MMI,2,Tennis;Tanzen;Schwimmen,Inlineskaten,3,4,4,3,Pasta,4,Radiohead,3,4,5,5,4,4,3,4,2,2,2,3,2,2,3,2,4,5,1,3,4,4,3,4,5,5,4,3,2,3,1,4,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22,weiblich,SugarDaddy,Student*in,DAISY,4,Basketball;Fußball;Schwimmen;Wintersport,Basketball,4,5,3,2,Cordon bleu,3,Halsey,5,3,4,4,2,1,5,5,3,4,4,4,4,2,4,1,4,2,1,5,1,4,4,2,3,4,5,4,5,2,3,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,männlich,Mk27,Student*in,BMI,4,Fußball;Volleyball;Tennis;Yoga;Schwimmen,Fußball,4,3,4,4,Reispfanne mit viel Gemüse,3,Ed sheeran,4,2,2,2,3,1,3,3,4,3,4,3,3,2,4,1,4,3,2,4,4,4,2,2,2,3,5,3,3,2,2,4,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
22,männlich,J.V,Student*in,BMT,4,Fußball;Volleyball,Volleyball,3,5,5,4,Carbonara,5,Keine Angabe,2,3,4,4,1,1,4,3,1,2,4,3,5,1,5,1,4,3,3,4,4,3,3,5,5,3,2,3,3,4,5,3,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,männlich,JustTill,Student*in,MMI,5,Volleyball;Leichtathletik;Schwimmen;Rennrad/Mountainbike,Joggen/Laufen,4,3,3,2,Ofenkartoffeln mit Gemüse,2,Neffex,4,1,2,1,1,3,2,4,4,3,2,3,2,2,3,2,4,4,1,3,2,4,1,5,3,3,2,3,2,2,4,3,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
26,männlich,Stempelliebhaber,Student*in,MMI,1,Hockey,Keine Angabe,4,4,5,2,Pommes ,5,Haftbefehl,3,4,5,5,5,1,4,5,2,2,3,2,2,3,4,1,5,4,1,5,1,4,1,3,2,1,4,3,2,3,1,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,männlich,Fel,Student*in,BMT,3,Fußball,Fußball,3,4,4,3,Keine Angabe,4,Keine Angabe,1,1,2,1,1,4,5,2,1,2,4,4,3,4,2,3,4,4,4,2,1,3,3,2,4,3,4,3,4,4,1,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,weiblich,PaBe28,Student*in,BMT,3,Basketball;Yoga;Schwimmen,Rudern,3,4,3,2,Nudeln mit Pilzen in Sahnesauce,4,Tyler the Creator,4,3,3,4,4,2,3,2,3,2,2,3,3,3,2,2,4,2,3,5,3,2,2,2,4,4,4,5,3,4,2,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
31,weiblich,oretani,Student*in,BMI,3,Tennis;Yoga;Kampfsport;Tanzen;Schwimmen,Padel-Tennis,4,5,5,3,Vegane Pho Bo Suppe,5,John Frusciante,4,4,5,5,5,5,2,4,4,4,3,5,3,2,4,2,4,4,2,4,2,5,4,4,3,2,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
25,männlich,D1C2D327,Student*in,BMT,2,Schwimmen;Wintersport;Rennrad/Mountainbike,Ski fahren,2,2,3,1,Keine Angabe,4,Keine Angabe,2,2,3,3,4,2,1,3,4,3,1,2,2,2,2,3,2,5,1,3,2,4,2,1,3,4,2,3,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
